diaglocalcode,diagnosis
DC2577,Strabismus_ unspecified
DC2578,Malignant neoplasm of body of penis
DC258,Osteochondromatosis NOS (D48.0)
DC2582,Lymphoid leukemia_ unspecified
DC2583,Vomiting in newborn
DC2585,Pre-existing hypertensive heart and renal disease complicating pregnancy_ childbirth and the puerperium
DC2587,Acute viral hepatitis_ unspecified
DC2588,Q fever
DC2589,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
DC259,Exfoliative dermatitis
DC2590,Abnormal results of function studies of peripheral nervous system and special senses
DC2592,Severe depressive episode without psychotic symptoms
DC2594,Acute respiratory failure
DC2595,Congenital pneumonia_ unspecified
DC2596,Carcinoma in situ skin of eyelid_ including canthus
DC2597,Juvenile idiopathic scoliosis_ lumbosacral region
DC2598,Myofibroblastic Tumor_ NOS
DC2599,Acute rheumatic myocarditis
DC260,Delayed union of fracture_ forearm (radius_ ulna_ wrist joints)
DC2600,Chronic instability of knee_ Medial collateral ligament or other and unspecified medial meniscus
DC2602,Idiopathic Thrombocythemia (D47.3)
DC2603,Atrophy of tongue papillae
DC2604,Respiratory syncytial virus as the cause of diseases classified to other chapters
DC2605,Malignant neoplasm of body of pancreas
DC2606,Dorsalgia_ unspecified_ thoracolumbar region
DC2607,Other specified urinary incontinence
DC2608,Polyneruoparthy in other diseases classified elsewhere
DC2609,Other diseases of larynx
DC261,Disorder of kidney and ureter_ unspecified
DC2610,Fibrosclerosis of breast
DC2612,Open fracture of pertrochanteric of femur
DC2615,Fibrosarcoma NOS
DC2616,Endomyocardial (eosinophilic) disease
DC2618,Unspecified abnormal findings in cerebrospinal fluid
DC2619,Unspecified injury of head
DC262,Malignant neoplasm of abdominal part of esophagus
DC2620,Metastatic  Neuroendocrine Carcinoma
DC2621,Malignant neoplasm of skin_ unspecified
DC2622,Spinal stenosis_ lumbar region
DC2623,Poisoning by ��-Adrenoreceptor antagonists_ NEC
DC2624,Neuropathic spondylopathy_ site unspecified
DC2625,Metastatic Hepatocellular Carcinoma
DC2626,Superficial frostbite of knee and lower leg
DC2627,Dislocation of other and unspecified parts of neck
DC2628,Necrotizing enterocolitis of fetus and newborn
DC263,Insulin-dependent Diabetes mellitus_ with unspecified complications
DC2631,Malignant neoplasm of connective and soft tissue of abdomen
DC2632,Dysphagia
DC2633,Rheumatic aortic stenosis
DC2634,Fracture of L3 level
DC2637,Acute transmural myocardial infarction of unspecified site
DC2639,Gastro-esophageal laceration-hemorrhage syndrome
DC264,Exophthalmic conditions
DC2641,Myxoedema coma
DC2642,Other benign neoplasms of female genital organ_ unspecified
DC2644,synovitis and tenosynovitis_ unspecified_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC2645,Fracture of upper end of ulna_ part unspecified
DC2650,Follow-up examination after other treatment for malignant neoplasm
DC2652,Fracture of other skull and facial bones_ open
DC2654,Moyamoya disease
DC2655,Malignant neoplasm of overlapping lesion of other and unspecified parts of mouth
DC2657,Acute gastrojejunal ulcer without hemorrhage or perforation
DC2658,Acquired deformity of toe(s)_ unspecified
DC2659,Malignant neoplasm of gum_ unspecified
DC266,Hairy leukoplakia
DC2661,Injury of ulnar nerve at wrist and hand level
DC2662,Acute lymphadenitis of lower limb
DC2663,Acquired periventricular cysts of newborn
DC2666,Unspecified diabetes mellitus with ophthalmic complications
DC2667,Malignant neoplasm of posterior wall of bladder
DC2668,Aneurysmal bone cyst_ site unspecified
DC2671,Idiopathic peripheral autonomic neuropathy
DC2672,Pregnancy confirmed
DC2674,Calculus of gallbladder with acute cholecystitis
DC2676,Bowen'S Disease
DC2677,Examination of eyes and vision
DC2679,Malignant neoplasm of overlapping lesion of retroperitoneum and peritoneum
DC268,Chronic vascular disorders of intestine
DC2681,Malignant neoplasm of head_ face and neck
DC2683,Acute and subacute iridocyclitis
DC2684,Omphalitis of newborn with or without mild hemorrhage
DC2685,Fracture of lower end of radius_ unspecified
DC2686,Toxic effect of contact with other marine animals
DC269,Syndrome of infant of mother with gestational diabetes
DC2690,Chlamydial conjunctivitis
DC2691,Multiple open wounds of wrist and hand
DC2694,Persons encountering health services in other specified circumstances
DC2697,Spinal enthesopathy_ lumbar region
DC2698,Sarcoidosis of lung with sarcoidosis of lymph nodes
DC2699,Other seropositive rheumatoid arthritis_ multiple sites
DC270,Other specified diabetes mellitus with ketoacidosis
DC2700,Malignant neoplasm of exocervix
DC2702,Other carcinoma in situ of breast
DC2705,Recurrent malignant neoplasm(U99)
DC2706,Discord with boss and workmates
DC2707,Inflammatory disorders of seminal vesicle
DC2708,Pelvic varices
DC2710,Contact with and exposure to infections with a predominantly sexual mode of transmission
DC2711,Vaginitis_ vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere
DC2712,Other benign neoplasms of connective and other soft tissue of pelvis
DC2713,Gingival and edentulous alveolar ridge lesions associated with trauma
DC2714,Other disorders of male genital organs in diseases classified elsewhere
DC2715,Acanthamebiasis
DC2716,Mechanical strabismus
DC2717,Singleton_ unspecified as to place of birth
DC2718,Multiple superficial injuries of hip and thigh
DC2719,Fracture of frontal sinus
DC272,Malignant neoplasm of biliary tract_ unspecified
DC2720,Injury of renal blood vessels
DC2722,Cluster headache syndrome
DC2724,False-positive serological test for syphilis
DC2725,Seronegative rheumatoid arthritis_ site unspecified
DC2726,Diaper[napkin] dermatitis
DC2727,Lead-induced gout_ site unspecified
DC2731,Crushing injury of shoulder and upper arm
DC2732,Cysticercosis_ unspecified
DC2733,Hereditary corneal dystrophies
DC2735,Contusion of knee
DC2737,Supervision of pregnancy with history of abortive outcome
DC2738,Other bacterial pneumonia
DC274,Monoclonal gammopathy of undetermined significance(MGUS)
DC2740,Cicatricial alopecia_ unspecified
DC2743,Low back pain_ site unspecified
DC2744,Keratosis punctata (palmaris et plantaris)
DC2745,Polyp of vocal cord and larynx
DC2746,Allergic urticaria
DC2748,Other complications of procedures_ NEC
DC2750,Adenocarcinoma_ Metastatic NOS
DC2751,Chronic myeloproliferative disease
DC2752,Examination for period or rapid growth in childhood
DC2753,Teratoma_ Malignant NOS
DC2755,Open wounds involving multiple regions of upper limb (s)
DC2756,Neoplasm of uncertain or unknown behavior of appendix
DC2758,Other recurrent atlantoaxial subluxation_ cervical region
DC2759,Periapical abscess with sinus
DC276,Sequelae of fracture of spine
DC2760,Neoplasm of uncertain or unknown behavior of pluriglandular involvement
DC2762,Hepatic fibrosis
DC2763,Syringomyelia and syringobulbia
DC2766,Multiple superficial injuries of wrist and hand
DC2767,Herpesviral ocular disease
DC2769,Organic anxiety disorder
DC2770,Bronchopulmonary dysplasia originating in the perinatal period
DC2771,Primary adrenocortical insufficiency
DC2774,Other specified metabolic disorders
DC2776,Periodic paralysis
DC2778,Infection and inflammatory reaction due to other cardiac and vascular devices_ implants and grafts
DC2779,Abnormalities of size and form of teeth
DC278,Idiopathic osteoporosis_ multiple sites
DC2782,Unspecified occupant of heavy transport vehicle injured in collision with car_ pick-up truck or van in traffic accident
DC2783,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
DC2786,Obstructed labour due to incomplete rotation of fetal head
DC2787,Other obesity
DC279,Cystic meniscus_ unspecified meniscus or ligament
DC2790,Fibromyalgia_ upper arm (humerus_ elbow joints)
DC2791,Female syphilitic pelvic inflammatory disease
DC2792,Other rupture of muscle(nontraumatic)_ lower leg(fibula_ tibia_ knee joint)
DC2794,Other streptococcal arthritis and polyarthritis_ site unspecified
DC2795,Disseminated mucormycosis
DC2796,Tuberculosis of skin and subcutaneous tissue
DC2797,Primary arthrosis of other joints_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC2802,Eclampsia in pregnancy
DC2803,Hydrocele_ unspecified
DC2804,Malignant neoplasm of peripheral nerves of head_ face and neck
DC2807,Hodgkin's Disease_ lymphocyte-rich
DC2808,Optic atrophy
DC2809,Other specified necrotizing vasculopathies
DC2810,Closed fracture of other metacarpal bone
DC2813,Injury of muscle and tendon at thorax level
DC2815,Dislocation of thoracic vertebra_ level unspecified
DC2817,Pain localized to other parts of lower abdomen
DC2818,Malignant neoplasm of cervical part of esophagus
DC282,Pericarditis in other diseases classified elsewhere
DC2820,Crohn's disease of small intestine
DC2821,Inflammatory polyps
DC2824,Female infertility of tubal origin
DC2825,Malignant neoplasm of body of stomach
DC2827,Non-insulin dependent diabetes melitus with ketoacidosis
DC2828,Systemic lupus erythematosus with organ or system involvement With unspecified organ or system
DC2829,Motor neuron disease
DC2831,Injury of facial nerve
DC2833,Injury of nerve root of lumbar and sacral spine
DC2834,Dislocation of finger
DC2836,Anxiety disorder_ unspecified
DC2837,Injury of extensor muscle and tendon of other finger at wrist and hand level
DC2838,Injury of tendon of the rotator cuff of shoulder
DC2839,Other nonorganic psychotic disorders
DC284,Phyllodes Tumor_ Malignant
DC2840,Mixed disorder of acid-base balance
DC2841,Labour and delivery complicated by vascular lesion of cord
DC2842,Mycosis fungoides_ T cell lymphomas                                                                                             
DC2843,Other congenital viral diseases
DC2844,Observation for suspected disease or condition_ unspecified
DC2845,Abscess of bursa_ lower leg (fibula_ tibia_ knee joint)
DC2846,Thrombocytopenia_ unspecified
DC2847,Traumatic rupture of radial collateral ligament
DC2848,Enterohemorrhagic Escherichia coli infection
DC2850,Neonatal aspiration of milk and regurgitated food
DC2852,Person with feared complaint in whom no diagnosis is made
DC2854,Burn of third degree of trunk
DC2855,Coutusion of eyeball and orbital tissues
DC2856,Spindle Cell Carcinoma
DC2857,Metatarsalgia
DC2858,Liver disorders in pregnancy_ childbirth and the puerperium
DC2859,Schizoaffective disorder_ unspecified
DC2860,Disorder involving the immune mechanism_ unspecified
DC2861,Solar urticaria
DC2862,Neoplasm of uncertain or unknown behavior of bladder
DC2865,Interstitial emphysema
DC2866,Rheumatoid lung disease_ site unspecified
DC2867,Panniculitis_ unspecified_ forearm (radius_ ulna_ wrist joints)
DC2868,Thyrotoxicosis with toxic single thyroid nodule
DC2869,Endometriosis of pelvic peritoneum
DC287,Other heart disorders in other diseases classified elsewhere
DC2870,Chronic instability of knee_ unspecified meniscus or ligament
DC2871,Unspecified nephritic syndrome with diffuse crescentic glomerulonephritis
DC2872,Injury of other flexor muscle and tendon at forearm level
DC2873,Foreign body or object entering through skin_ industrial and construction area
DC2874,Endometriosis of fallopian tube
DC2875,Systemic sclerosis_ unspecified
DC2877,Arthritis in other bacterial diseases classified elsewhere_ site unspecified
DC2878,Hypersensitivity pneumonitis due to other organic dusts
DC2879,Follicular Adenocarcinoma NOS (C73)
DC2880,States associated with artificial menopause
DC2883,Other specified diseases of upper respiratory tract
DC2884,Postprocedural hypoinsulinemia
DC2885,Calcification and ossification of mulcle_ unspecified_ site unspecified
DC2887,Malignant neoplasm of subglottis
DC2889,Other specified diabetes mellitus_ without complications
DC2891,Other specified aplastic anemias
DC2894,Hemophagocytic syndrome_ infection-associated
DC2895,Chronic Myeloid Leukemia (C92.1)
DC2896,Complications of anesthesia during labour and delivery_ unspecified
DC2898,Joint disorder_ unspecified_ lower leg(fibula_ tibia_ knee joint)
DC2899,Granulomatous disorder of skin and subcutaneous tissue_ unspecified
DC290,Abdominal Fibromatosis
DC2900,Hyperventilation
DC2901,Mucormycosis_ unspecified
DC2903,Sprain and strain of lumbar spine
DC2906,Bitten or struck by dog_ other specified places
DC2907,Poisoning by and exposure to other gases and vapours_ undetermined intent_ unspecified place
DC2909,Other recurrent mood [affective] disorders
DC2912,Other spondylosis with radiculopathy_ lumbar region
DC2913,Acute disseminated encephalitis
DC2914,Sequelae of unspecified infectious or parasitic disease
DC2915,Other dislocation of elbow
DC2916,Sepsis due to Hemophilus influenza
DC2918,Abnormal glucose tolerance test
DC2919,Malignant melanoma of skin_ unspecified
DC2920,Injury of heart with haemopericardium_ without open wound into thoracic cavity
DC2921,Malignant neoplasm of descended testis
DC2924,Dislocation of wrist
DC2925,Malignant neoplasm of short bones of upper limb
DC2927,Cutaneous abscess_ furuncle and carbuncle of face
DC2929,Intermittent heterotropia
DC293,Acute serous otitis media
DC2930,Other acute myocarditis
DC2931,Ectropion of eyelid
DC2934,Allergic contact dermatitis_ unspecified cause
DC2935,Pedestrian injured in unspecified traffic accident
DC2936,Sequelae of poliomyelitis
DC2939,Hypovolemic shock
DC2942,Female chlamydial pelvic inflammatory disease
DC2945,Injury of radial artery at wrist and hand level
DC2947,Contact with and exposure to other communicable diseases
DC2948,Carcinoma in situ endocervix
DC2950,Localized swelling_ mass and lump_ multiple sites
DC2952,Exposure to electric transmission lines_ other specified places
DC2953,Alcoholic cardiomyopathy
DC2954,Hypochondriacal disorder
DC2955,Immunoblastic non-Hodgkin's lymphoma (diffuse)
DC2956,Myopathy in other diseases classified elsewhere
DC2957,Enterovirus as the cause of diseases classified to other chapters
DC2958,Thymoma_ NOS
DC2959,Odontogenic Tumor_ Benign
DC296,Malignant neoplasm of anterior floor of mouth
DC2961,Special screening examination for neoplasm of intestinal tract
DC2963,Lipoprotein deficiency
DC2964,Other phobic anxiety disorders
DC2965,Injury of unspecified muscle and tendon at wrist and hand level
DC2967,Special screening examination_ unspecified
DC2968,Other local lupus erythematosus
DC297,Ventricular premature depolarization
DC2970,Poisoning by other antiprototzoal durgs
DC2972,Dorsalgia_ unspecified_ site unspecified
DC2973,Fracture of distal phalanx
DC2975,Glycosuria
DC2976,Problem related to housing and economic circumstances_ unspecified
DC2977,Neoplasm of uncertain or unknown behavior of small intestine
